"ID товара";Артикул;Категория;"URL категории";Товар;Вариант;"Краткое описание";Описание;Цена;"Старая цена";"URL товара";Изображение;Количество;Активность;"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";Рекомендуемый;Новый;Сортировка;Вес;"Связанные артикулы";"Смежные категории";"Ссылка на товар";Валюта;"Единицы измерения";"Длина   ";"Ширина   ";"Толщина   ";"Основная камера   ";"Частота кадров   ";"Разрешение видео   ";"Фронтальная камера   ";"Разрешение экрана   ";"Диагональ   ";"Тип экрана   ";"Оперативная память   ";"Количество ядер   ";"Емкость аккумулятора   ";"Процессор   ";"Поддержка MicroSD   ";"Количество SIM-карт   ";"Версия ОС   ";"Вес   ";"Максимальный объём памяти ";"Размеры ";"Вес [prop attr=42] ";"Тип батареи ";"Точность хода ";"Водонепроницаемость ";"Объём памяти [size]";"Цвет[prop attr=Смартфоны] [color]";"Цвет [color]";"Размер[prop attr=Детская обувь] [size]";"Размер обуви [size]";"Размер [size]";"Размер[prop attr=Леггинсы] [size]";"Окончание акции (дд.мм.гггг) ";"Год изготовления[prop attr=Шины] [prop attr=51] ";"Сложные характеристики"
166;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Hakkapeliitta R 225/55/R16 99R HL";;;;"2 000";;hakkapeliitta-r-225-55-r16-99r-hl;no-img.jpg;1;1;;;;0;0;167;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;CN167;"Шины по диаметру/R15";shiny-po-diametru/r15;"ВС-54 205/70/15";;;;"1 400";;vs-54-205-70-15;1544295764_2018-12-08_22-02-44.jpeg;1;1;ВС-54;"ВС-54 купить, CN167, ВС-54";;0;1;167;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016;"Шипы[prop attr=Шины]=[type=assortmentCheckBox value=Нет##1## product_margin=Нет## activity=1 filter=1 description=]&Диаметр [prop attr=Шины] [prop attr=58]=[type=assortmentCheckBox value=15##1## product_margin=15## activity=1 filter=1 description=]&Индекс скорости[prop attr=Шины] [prop attr=32]=[type=assortmentCheckBox value=H##1## product_margin=H## activity=1 filter=1 description=]&Индекс нагрузки[prop attr=Шины] [prop attr=31]=[type=assortmentCheckBox value=95##1## product_margin=95## activity=1 filter=1 description=]&Сезон  [prop attr=Шины] [prop attr=27]=[type=assortmentCheckBox value=Всесезонные шины##1## product_margin=Всесезонные шины## activity=1 filter=1 description=]&Ширина[prop attr=Шины]=[type=assortmentCheckBox value=205##1## product_margin=205## activity=1 filter=1 description=]&Высота [prop attr=Шины] [prop attr=25]=[type=assortmentCheckBox value=70##1## product_margin=70## activity=1 filter=1 description=]&Производитель   [prop attr=Шины] [prop attr=24]=[type=assortmentCheckBox value=Росава##1## product_margin=Росава## activity=1 filter=1 description=]&Страна производства  [prop attr=Шины]=[type=assortmentCheckBox value=Украина##1## product_margin=Украина## activity=1 filter=1 description=]"
165;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Kristall Supremo 225/55/R16 95H";;;;"1 500";;kristall-supremo-225-55-r16-95h;no-img.jpg;1;1;;;;0;0;166;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Bravuris 225/55/R16 95W";;;;"1 600";;bravuris-225-55-r16-95w;no-img.jpg;1;1;;;;0;0;165;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Primacy HP 225/55/R16 99W";;;;"3 000";;primacy-hp-225-55-r16-99w;no-img.jpg;1;1;;;;0;0;164;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Pilot Alpin 225/55/R16 99H";;;;"1 700";;pilot-alpin-225-55-r16-99h;no-img.jpg;1;1;;;;0;0;163;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Winter Snowsport 210 225/55/R16 99H";;;;"2 000";;winter-snowsport-210-225-55-r16-99h;no-img.jpg;1;1;;;;0;0;162;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;;"Шины по диаметру/R16";shiny-po-diametru/r16;"SP Winter Sport 4D 225/55/R16 95H";;;;"2 100";;sp-winter-sport-4d-225-55-r16-95h;no-img.jpg;1;1;;;;0;0;161;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;;"Шины по диаметру/R16";shiny-po-diametru/r16;"Sport MAXX RT  225/55/R16 95Y";;;;"2 500";;sport-maxx-rt-225-55-r16-95y;no-img.jpg;1;1;;;;0;0;160;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;;"Шины по диаметру/R16";shiny-po-diametru/r16;"SP Sport 01 225/55/R16 95Y";;;;"2 800";;sp-sport-01-225-55-r16-95y;no-img.jpg;1;1;;;;0;0;159;0;;;;UAH;шт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
